step,train_margin_mean,train_margin_min,train_margin_q01,train_margin_q05,train_margin_q25,train_margin_median,train_margin_q75,train_margin_q95,train_margin_q99,test_margin_mean,test_margin_min,test_margin_q01,test_margin_q05,test_margin_q25,test_margin_median,test_margin_q75,test_margin_q95,test_margin_q99
550,7.0261906578982405,4.982210159301758,5.777911262512207,6.136145973205567,6.608652114868164,6.981882095336914,7.398105621337891,8.069378471374511,8.726854934692383,-24.88525571385639,-84.47550201416016,-56.326711082458495,-45.83278465270996,-31.738394260406494,-23.415691375732422,-16.76626682281494,-8.583311796188354,-3.9977697372436345
600,7.146709002809831,5.166538238525391,5.915014915466308,6.259871578216552,6.719639778137207,7.102909088134766,7.516477584838867,8.173339557647704,8.838279914855958,-25.18291010157335,-85.84303283691406,-57.21331100463867,-46.63177680969238,-32.1396427154541,-23.738056182861328,-16.895142078399658,-8.526909112930298,-3.9443292617797736
650,7.262526919288645,5.34443473815918,6.0361613845825195,6.364794731140137,6.834576606750488,7.217924118041992,7.634442329406738,8.292885398864746,8.954678554534913,-25.47690222426336,-87.08980560302734,-58.14409980773926,-47.31352138519287,-32.575490951538086,-24.02063751220703,-17.00353193283081,-8.535217523574829,-3.8634039878845154
700,7.373356120306983,5.520786285400391,6.154580535888672,6.479226303100586,6.953360080718994,7.326261520385742,7.753969669342041,8.404431343078613,9.084302310943608,-25.757081076645317,-88.25888061523438,-58.88350143432617,-48.048102378845215,-32.99969482421875,-24.252155303955078,-17.068233966827393,-8.495496988296509,-3.8451624870300254
750,7.479129130682538,5.613857269287109,6.254630241394043,6.570207595825195,7.0586628913879395,7.438152313232422,7.864134311676025,8.53260507583618,9.165507755279542,-26.0289060496034,-89.42671203613281,-59.6373571395874,-48.74533271789551,-33.40970420837402,-24.457744598388672,-17.15485715866089,-8.478548288345337,-3.8562427043914713
800,7.579864539334725,5.690975189208984,6.340725021362305,6.661828517913818,7.164882659912109,7.54046630859375,7.958682537078857,8.618058109283448,9.217879123687744,-26.29092080129447,-90.4791488647461,-60.318775749206544,-49.34458351135254,-33.81516456604004,-24.66058921813965,-17.29757070541382,-8.480061292648315,-3.665743255615227
850,7.676247844219588,5.760234832763672,6.413947486877442,6.760672187805175,7.263680458068848,7.641432762145996,8.04646110534668,8.71573600769043,9.256023654937746,-26.541868256965174,-91.4415054321289,-60.92140560150146,-49.81059455871582,-34.26273536682129,-24.870034217834473,-17.38681936264038,-8.402995586395264,-3.5492601394653303
900,7.770172097598685,5.827388763427734,6.496808319091797,6.8495402336120605,7.348658561706543,7.739091873168945,8.148177146911621,8.803276252746581,9.344513397216797,-26.784830665149208,-92.34367370605469,-61.39197425842285,-50.406503677368164,-34.716407775878906,-25.113054275512695,-17.421054363250732,-8.34113335609436,-3.303119564056383
950,7.860659429503031,5.890666961669922,6.579940299987793,6.942477416992188,7.4349565505981445,7.824817657470703,8.243197917938232,8.88762731552124,9.469252853393556,-27.019738103665233,-93.1336898803711,-62.1605842590332,-50.97121620178223,-35.13739204406738,-25.272201538085938,-17.492932319641113,-8.360514402389526,-3.319486045837402
1000,7.949261280503832,5.960437774658203,6.662496109008789,7.02705192565918,7.529274940490723,7.909552574157715,8.327809810638428,8.96952028274536,9.520668334960938,-27.243311255357387,-93.84525299072266,-63.009121322631835,-51.55105113983154,-35.52715587615967,-25.492545127868652,-17.525893688201904,-8.298524379730225,-3.1694881439208777
1050,8.037194499873177,6.051898956298828,6.7421173477172855,7.1151786804199215,7.617928504943848,7.997234344482422,8.414457321166992,9.041818809509277,9.644353179931642,-27.45843403803048,-94.54716491699219,-63.7944694519043,-52.21040916442871,-35.831786155700684,-25.67671489715576,-17.521815299987793,-8.23825192451477,-3.1087276458740214
1100,8.12350816458044,6.126190185546875,6.815436630249024,7.203852272033691,7.706259727478027,8.07640266418457,8.501577377319336,9.143453407287597,9.724685592651369,-27.66433000167633,-95.16313934326172,-64.41222801208497,-52.77745532989502,-36.26250743865967,-25.791601181030273,-17.566283702850342,-8.223978519439697,-3.313638114929194
1150,8.208332067850007,6.189495086669922,6.893185195922851,7.289671421051025,7.795433044433594,8.169305801391602,8.596222877502441,9.21525650024414,9.823666305541993,-27.858893487287084,-95.69288635253906,-65.05172576904297,-53.30060577392578,-36.60646057128906,-25.813024520874023,-17.609810829162598,-8.195465564727783,-3.1673480987548768
1200,8.292093146838884,6.244453430175781,6.990686225891113,7.3801227569580075,7.882294654846191,8.25745964050293,8.673273086547852,9.313498592376709,9.864258708953859,-28.049011229708647,-96.086181640625,-65.45691566467285,-53.73366928100586,-37.022889137268066,-26.081241607666016,-17.626834392547607,-8.16339635848999,-3.147634220123273
1250,8.37549027654043,6.301246643066406,7.070681228637695,7.455131244659424,7.967774391174316,8.337579727172852,8.750811576843262,9.406533908843993,9.930253505706787,-28.23489860131983,-96.39936065673828,-66.2337631225586,-54.349196434020996,-37.34389591217041,-26.287854194641113,-17.62077236175537,-8.092146158218384,-3.004485988616932
1300,8.458951324089835,6.355060577392578,7.155576171875,7.546099758148194,8.053046226501465,8.430875778198242,8.839147567749023,9.471427059173584,10.029054145812989,-28.416287213912298,-96.61033630371094,-66.50640106201172,-54.86597728729248,-37.72654914855957,-26.51689910888672,-17.64494752883911,-7.897790908813477,-2.919137430191029
1350,8.542543978694901,6.411952972412109,7.240865936279297,7.629453849792481,8.13161849975586,8.510311126708984,8.923054695129395,9.54153528213501,10.1468998336792,-28.591352780997816,-96.75436401367188,-66.90372238159179,-55.35578155517578,-38.023104667663574,-26.64756679534912,-17.659595012664795,-7.761643409729004,-2.7846347808837804
1400,-1.0349551195829687,-3.3495898246765137,-2.6449024057388306,-2.0496593713760376,-1.4137593507766724,-1.0100992918014526,-0.6232784390449524,-0.10219091176986705,0.2608537697792058,-1.685152266323672,-4.957874774932861,-3.34477413892746,-2.789519250392914,-2.089188575744629,-1.6533337235450745,-1.2472421526908875,-0.67728391289711,-0.3023161709308622
1450,-1.2087261780854903,-4.590243339538574,-3.3166412496566773,-2.651749610900879,-1.7355909943580627,-1.1792765855789185,-0.6506926417350769,0.14055662155151333,0.6399533176422163,-3.019067515296122,-11.606911659240723,-6.181277799606323,-5.051244378089905,-3.6769320964813232,-2.904276132583618,-2.2144117951393127,-1.3665779829025269,-0.8399345755577085
1500,-0.8324283836466373,-5.630080699920654,-3.3488924360275267,-2.5933486461639403,-1.5255094170570374,-0.8328282833099365,-0.13474082946777344,0.8802416801452635,1.7093485307693481,-4.7482732092071585,-14.428583145141602,-9.498400592803955,-7.884059429168701,-5.756670713424683,-4.574325323104858,-3.5289742946624756,-2.242033004760742,-1.4854565382003775
1550,0.70759419079572,-4.38721227645874,-2.915277099609375,-1.7169603228569028,-0.1738755702972412,0.7885713577270508,1.6661760807037354,2.8688703775405875,3.613171977996826,-8.929865499443084,-32.18272018432617,-19.1623327255249,-15.396876335144043,-10.93260669708252,-8.49484634399414,-6.439660310745239,-3.9544618129730225,-2.4590164899826035
1600,3.3270010612380334,-1.4498441219329834,1.5220734977722168,2.1188798904418946,2.7959933280944824,3.3000612258911133,3.813917875289917,4.6990036964416495,5.46449188232422,-14.238884203618948,-57.479522705078125,-32.05986576080322,-25.154767513275146,-17.50290584564209,-13.354554653167725,-10.020058870315552,-6.074862837791443,-3.1131284952163627
1650,4.446567145681368,2.249049186706543,3.0647098922729494,3.4415422916412353,3.9812982082366943,4.394720077514648,4.838409900665283,5.600954437255859,6.42419984817505,-16.570409688213132,-66.25694274902344,-37.66662197113037,-29.6967191696167,-20.482314109802246,-15.47396469116211,-11.574826002120972,-6.945138454437256,-3.777526974678037
1700,4.867953870387081,2.815523147583008,3.5419944858551027,3.925048828125,4.430999755859375,4.831052780151367,5.248673915863037,5.980541276931762,6.657652378082276,-17.23160910331903,-68.40972137451172,-39.476909446716306,-31.0630841255188,-21.365414142608643,-16.050496101379395,-12.090870380401611,-7.156959652900696,-3.9070599555969228
1750,5.100881937682359,3.162722587585449,3.798494243621826,4.1705364227294925,4.684528827667236,5.062152862548828,5.4612226486206055,6.156975936889648,6.795057611465455,-17.491745436947436,-69.10940551757812,-40.05098762512207,-31.496605396270752,-21.724987030029297,-16.26724910736084,-12.237424373626709,-7.1232171058654785,-3.9835319042205795
1800,5.254161255872221,3.467609405517578,3.9754118156433105,4.342064762115479,4.841041088104248,5.223400115966797,5.607555866241455,6.280867767333984,6.873933219909668,-17.596241571655774,-69.12106323242188,-40.60657176971436,-31.77975845336914,-21.898300170898438,-16.323915481567383,-12.314572095870972,-7.160529375076294,-3.9991831064224215
1850,5.368136606031423,3.6189937591552734,4.122012796401978,4.468900394439697,4.960286855697632,5.3446855545043945,5.72767972946167,6.3988207340240475,6.9537598800659195,-17.63607869273249,-68.42037963867188,-40.7467077255249,-31.953230381011963,-21.959895133972168,-16.37851905822754,-12.285737037658691,-7.157925963401794,-4.07110238075256
1900,5.457293990568819,3.7947463989257812,4.237161645889282,4.583241558074951,5.0550696849823,5.434218883514404,5.805490493774414,6.471535062789916,7.007746429443359,-17.650727265277233,-67.69365692138672,-40.95052356719971,-31.9694766998291,-21.996350288391113,-16.403125762939453,-12.24450135231018,-7.108983755111694,-3.996074151992785
1950,5.535623765074126,3.858734130859375,4.315593652725219,4.66550579071045,5.143151760101318,5.504669189453125,5.890013217926025,6.518450546264648,7.086070289611817,-17.680965611540252,-67.11758422851562,-41.37157516479492,-32.1224422454834,-22.058423042297363,-16.400121688842773,-12.178992509841919,-7.021199822425842,-3.952615523338315
2000,5.608612249355635,3.9375362396240234,4.379208183288574,4.7308030128479,5.212825775146484,5.575325012207031,5.97116756439209,6.584648799896239,7.139937763214112,-17.722574161968033,-66.40460205078125,-41.66479568481445,-32.33771324157715,-22.10206890106201,-16.392587661743164,-12.134575366973877,-7.004020094871521,-3.8662438154220533
2050,5.680083647516855,4.014864921569824,4.427712783813477,4.7930961608886715,5.283668518066406,5.651597023010254,6.043973445892334,6.648721408843993,7.197867736816407,-17.78453233961598,-65.93447875976562,-42.32012462615967,-32.73194599151611,-22.191168308258057,-16.459202766418457,-12.127310276031494,-6.957282304763794,-3.8021555662155118
2100,5.7495817858077345,4.061191558837891,4.4943776702880855,4.8580530166625975,5.346185684204102,5.726081848144531,6.111622333526611,6.740324640274047,7.271287326812744,-17.867325708581504,-65.29386901855469,-42.70057983398438,-33.0755090713501,-22.356680870056152,-16.524548530578613,-12.131655931472778,-6.9516788721084595,-3.8486650466918917
2150,5.817795192755,4.113219261169434,4.559319114685058,4.9284743309021,5.416252851486206,5.799875259399414,6.1703362464904785,6.831922054290771,7.30556703567505,-17.970824863908142,-64.19314575195312,-43.272294235229495,-33.54709720611572,-22.514288425445557,-16.612825393676758,-12.132248878479004,-6.911425828933716,-3.7976188182830786
2200,5.88624841800054,4.221234321594238,4.626469268798828,4.98398265838623,5.477917194366455,5.869209289550781,6.246443748474121,6.8883702754974365,7.413441705703737,-18.09883253328605,-64.13374328613281,-43.730989646911624,-34.05482864379883,-22.739784717559814,-16.712037086486816,-12.162638187408447,-6.9443598985672,-3.731677675247188
2250,5.955440355113868,4.343923568725586,4.6866656684875485,5.045350646972656,5.54615330696106,5.937511444091797,6.315020561218262,6.973803567886351,7.5235004806518555,-18.246525551045654,-65.5364990234375,-44.3532793045044,-34.42625141143799,-22.933812618255615,-16.827430725097656,-12.165104866027832,-6.868905067443848,-3.730679368972773
2300,6.024654321394288,4.351600646972656,4.762823677062988,5.102945041656494,5.604996204376221,5.999197006225586,6.3921403884887695,7.059346485137938,7.600832061767578,-18.40638460481247,-66.85270690917969,-45.13209953308105,-34.98612594604492,-23.122530937194824,-16.98341464996338,-12.21002745628357,-6.8366968631744385,-3.639446020126339
2350,6.0929764040030285,4.396920204162598,4.823502178192139,5.170570373535156,5.672257661819458,6.062253952026367,6.462274074554443,7.137775564193725,7.675963096618653,-18.58829154344978,-68.19389343261719,-46.08270092010498,-35.379380226135254,-23.43380117416382,-17.13059902191162,-12.286197662353516,-6.787184715270996,-3.5142600059509164
2400,6.164433573206593,4.419436454772949,4.8992535018920895,5.242311286926269,5.7429609298706055,6.138741493225098,6.535141944885254,7.224812602996826,7.761107711791995,-18.787960184579024,-69.55368041992188,-47.45927772521973,-35.817917823791504,-23.78012752532959,-17.255194664001465,-12.323455810546875,-6.740622162818909,-3.4760417699813786
2450,6.235495150168462,4.451234817504883,4.965479125976563,5.288660907745362,5.812853813171387,6.197949409484863,6.612842559814453,7.289903163909912,7.865664215087891,-19.022089194457582,-70.73727416992188,-48.63935012817383,-36.54625606536865,-24.081684589385986,-17.471269607543945,-12.447563171386719,-6.701075792312622,-3.3210859298706032
2500,6.3105840532189825,4.409334182739258,5.021420269012451,5.348482608795166,5.886911869049072,6.273337364196777,6.695688247680664,7.353617095947265,7.9697189521789555,-19.25678136616449,-71.78897094726562,-49.83688583374023,-37.23477840423584,-24.384146690368652,-17.678340911865234,-12.50708270072937,-6.692703723907471,-3.272631502151488
2550,6.384376484315635,4.399894714355469,5.093197402954101,5.433555603027344,5.9513983726501465,6.340086936950684,6.766961097717285,7.457572698593139,8.101269969940187,-19.520928466062447,-72.80195617675781,-51.034387016296385,-38.009504318237305,-24.7520432472229,-17.85426139831543,-12.603332281112671,-6.642056584358215,-3.210618782043456
2600,6.459972304801119,4.404176712036133,5.154376258850098,5.493443965911865,6.026316165924072,6.420831203460693,6.845373630523682,7.561064052581787,8.181494598388673,-19.803226085533456,-73.7000732421875,-52.334825897216795,-39.01298904418945,-25.19520378112793,-18.090364456176758,-12.726725101470947,-6.578076004981995,-3.0935665607452383
2650,6.535497490028545,4.407266616821289,5.244098796844482,5.551190376281738,6.096786975860596,6.500128746032715,6.925217151641846,7.631177425384521,8.254997634887697,-20.089811014064946,-74.58143615722656,-53.10131092071533,-39.609883308410645,-25.629319667816162,-18.272732734680176,-12.820541858673096,-6.540420770645142,-2.9502202033996574
2700,6.612966321422608,4.412294387817383,5.312841768264771,5.616520357131958,6.167299270629883,6.577069282531738,7.005300998687744,7.738669967651363,8.314330577850342,-20.40807993383303,-75.57154083251953,-54.015771102905276,-40.51355743408203,-26.04121208190918,-18.473920822143555,-12.945985078811646,-6.529252767562866,-2.7759546518325795
2750,6.693659594741363,4.370950698852539,5.374095182418824,5.691936683654785,6.245661973953247,6.665609359741211,7.095718860626221,7.815005874633789,8.449794368743897,-20.738366039095727,-76.55413818359375,-55.22959823608399,-41.42003631591797,-26.472218990325928,-18.794991493225098,-13.059666395187378,-6.528443932533264,-2.712184762954705
2800,6.773788752341694,4.388240814208984,5.43835708618164,5.770675563812256,6.324334144592285,6.736764907836914,7.184323072433472,7.904157161712645,8.497934875488287,-21.073786437828154,-77.53482055664062,-56.133301925659175,-42.187140464782715,-26.98265027999878,-19.109400749206543,-13.20913290977478,-6.501086711883545,-2.6530398368835444
2850,6.856273920270568,4.47697639465332,5.519755630493164,5.869511127471924,6.405410289764404,6.811779022216797,7.267670154571533,7.9985785484313965,8.627805728912357,-21.439521550878833,-78.93389892578125,-56.92321376800537,-43.160841941833496,-27.538591384887695,-19.405834197998047,-13.378406047821045,-6.497095823287964,-2.6828672409057535
2900,6.945811177516535,4.571231842041016,5.593023300170898,5.939637756347657,6.492866516113281,6.910863876342773,7.3657073974609375,8.077049636840819,8.667356643676758,-21.79512998849164,-80.15019226074219,-57.624189376831055,-44.08191108703613,-28.075133323669434,-19.825087547302246,-13.3972008228302,-6.413585543632507,-2.5272783756256048
2950,7.033871582395181,4.684757232666016,5.685405559539795,6.021965408325196,6.573685646057129,7.005332946777344,7.451452255249023,8.162265586853026,8.80320327758789,-22.14689579324185,-81.08451080322266,-58.78117790222168,-44.90510368347168,-28.548640251159668,-20.06248378753662,-13.558078527450562,-6.3933345079422,-2.414343452453607
3000,7.120424465774508,4.73182487487793,5.735883712768555,6.1116045951843265,6.657744884490967,7.087027549743652,7.531003952026367,8.248099994659421,8.800848445892337,-22.482518439338513,-81.9466781616211,-59.73143081665039,-45.67089653015137,-29.10954761505127,-20.359917640686035,-13.659350633621216,-6.320866107940674,-2.485751247405999
3050,7.208149008886503,4.837669372558594,5.823490104675293,6.209807395935059,6.750810623168945,7.183773994445801,7.627194404602051,8.315663719177245,8.8769242477417,-22.82382030348553,-82.74269104003906,-61.314490509033206,-46.61272430419922,-29.660366535186768,-20.683805465698242,-13.742200136184692,-6.26664662361145,-2.3729405403137167
3100,7.296742545459107,4.9724884033203125,5.90948974609375,6.298303413391113,6.841637134552002,7.277820587158203,7.705161094665527,8.421895790100097,8.9095467376709,-23.15298334597021,-83.79513549804688,-62.397989654541014,-47.432387351989746,-30.185052394866943,-20.921979904174805,-13.84917426109314,-6.272734761238098,-2.284043931961047
3150,7.382226779997554,5.140779495239258,6.0123027801513675,6.384895896911621,6.922558784484863,7.353090286254883,7.790838241577148,8.517503356933593,8.998018951416016,-23.471807522846376,-84.59278869628906,-63.480556106567384,-48.63291358947754,-30.710001468658447,-21.226139068603516,-13.932820558547974,-6.130631685256958,-2.2093419075012206
3200,7.47171092508576,5.248598098754883,6.122507438659668,6.475065517425537,7.021786689758301,7.436885833740234,7.889047145843506,8.5783953666687,9.103564682006835,-23.789880248953846,-85.601318359375,-64.3502628326416,-49.29760456085205,-31.257193565368652,-21.490222930908203,-14.054491996765137,-6.054475784301758,-2.1469384193420407
3250,7.556380320951211,5.350578308105469,6.19364444732666,6.568678140640259,7.1022796630859375,7.513282775878906,7.963754653930664,8.66344585418701,9.210151519775394,-24.086722183261323,-86.71147155761719,-65.0196044921875,-50.15933322906494,-31.575522422790527,-21.81123447418213,-14.199875831604004,-6.058125138282776,-2.139501857757562
3300,7.639850904103324,5.516391754150391,6.284932193756103,6.649895095825196,7.200070381164551,7.605146408081055,8.044920921325684,8.746770763397215,9.324277000427246,-24.379767087094546,-87.74287414550781,-65.67865905761718,-50.99727821350098,-32.1473970413208,-22.044485092163086,-14.285784244537354,-5.965672016143799,-2.0560187816619813
3350,7.725585559248892,5.640596389770508,6.3862141990661625,6.741916847229004,7.283589839935303,7.693775177001953,8.138853073120117,8.825143432617187,9.390906715393067,-24.64913922584188,-88.69674682617188,-66.3712703704834,-51.61764621734619,-32.6999626159668,-22.32960796356201,-14.395955801010132,-5.875280261039734,-1.9259098529815624
3400,7.813139570668565,5.777713775634766,6.43414379119873,6.816787338256836,7.370998859405518,7.777690887451172,8.223443031311035,8.8840350151062,9.45785484313965,-24.913565418629876,-89.39974975585938,-67.1230625152588,-52.08518028259277,-33.04092216491699,-22.48905372619629,-14.530570983886719,-5.821939826011658,-1.7767771720886036
3450,-1.055014528605395,-3.807201385498047,-2.6578663539886476,-2.10627338886261,-1.5194842219352722,-0.9627251625061035,-0.6019503772258759,-0.14549267292022774,0.054484918117523824,-1.2325870688084883,-3.825269937515259,-2.8038330078125,-2.317122995853424,-1.7144560813903809,-1.1383001804351807,-0.7652815133333206,-0.32607975602149963,-0.037904369831084604
3500,-0.4791014656412642,-2.0188138484954834,-1.30777334690094,-1.0181452751159668,-0.6500885486602783,-0.4606974720954895,-0.2729726582765579,-0.040470170974731566,0.12465170383453386,-0.7919691634271063,-3.3642444610595703,-1.9236726820468903,-1.450143426656723,-0.9784290343523026,-0.7471411526203156,-0.5436250418424606,-0.2904147058725357,-0.1346749767661093
3550,-0.6781688521881227,-4.129213809967041,-1.9662052011489868,-1.4898220300674438,-0.9427582621574402,-0.6268755793571472,-0.37036004662513733,-0.026919806003570874,0.25980303883552575,-1.243458657329846,-8.870564460754395,-3.264184355735779,-2.3916730880737305,-1.5446438789367676,-1.1380815505981445,-0.8101403266191483,-0.43543121218681335,-0.21766446828842084
3600,-0.9183966810086164,-3.904731273651123,-2.695218391418457,-2.11621835231781,-1.3172010779380798,-0.8657562732696533,-0.4733790457248688,0.08059202432632386,0.5404075908660904,-2.0801711265885827,-21.368663787841797,-6.164316082000733,-4.028569936752319,-2.5498844981193542,-1.8681254982948303,-1.3424401581287384,-0.7204324901103973,-0.3161585062742233
3650,-1.2910172355648624,-6.679678916931152,-4.011232881546021,-3.068803548812866,-1.9231157898902893,-1.2639057636260986,-0.6304891407489777,0.33850250840186813,1.275999603271486,-3.462036381107123,-31.582012176513672,-11.432132339477539,-7.208615303039551,-4.225888013839722,-3.037105917930603,-2.0982088446617126,-1.129350870847702,-0.5267314165830609
3700,-0.8735002540240032,-5.249233245849609,-3.6825084114074706,-2.6651312351226806,-1.603467345237732,-0.8836631178855896,-0.2159339189529419,1.068678641319274,2.4122151184082035,-4.458056096801765,-40.90681457519531,-17.529695796966553,-10.184687376022339,-5.27180290222168,-3.700742244720459,-2.583369553089142,-1.4137680530548096,-0.6821899354457848
3750,-0.8462698752025388,-4.980295658111572,-3.0581746339797973,-2.1629265546798706,-1.2855753302574158,-0.7946338653564453,-0.3430096507072449,0.2704067051410672,0.7313709330558797,-2.648343608757198,-14.73170280456543,-8.638721656799316,-5.6900928020477295,-3.2951578497886658,-2.2938119173049927,-1.5767582058906555,-0.8194099366664886,-0.3697093084454533
3800,-0.4846737672602785,-6.55101203918457,-4.548745346069336,-3.0624825954437256,-1.402130663394928,-0.45261716842651367,0.5140783786773682,1.9195516824722283,3.0286620330810545,-7.347954276464867,-56.499290466308594,-33.97244300842285,-18.733025550842285,-8.671842813491821,-5.811742782592773,-3.871908724308014,-1.7474681735038757,-0.6106525897979727
3850,0.8192795478629203,-10.286920547485352,-3.5349126768112185,-1.8835546016693114,-0.11488962173461914,0.9225683212280273,1.8621253967285156,3.1591335296630856,4.566623849868774,-10.387403812743736,-74.16779327392578,-45.57204875946045,-26.67041778564453,-12.634408712387085,-8.171771049499512,-5.1684675216674805,-2.24042147397995,-0.5756284475326522
3900,2.0803363537363886,-5.855393409729004,-1.7183871269226076,-0.29926118850708006,1.211467981338501,2.100919723510742,2.9741982221603394,4.328241539001464,5.624695062637332,-12.269482527942975,-70.66255187988281,-45.16074180603027,-29.777435302734375,-15.447205543518066,-10.168653011322021,-6.348037362098694,-2.5900228023529053,-0.5128441333770686
3950,3.2070929057541724,-1.8614263534545898,0.45719257354736326,1.3123428344726562,2.4970669746398926,3.1620283126831055,3.8936843872070312,5.196465396881103,6.604595794677735,-14.669028676531646,-81.24522399902344,-51.85241470336914,-34.792229652404785,-18.770898818969727,-12.335400104522705,-7.724933385848999,-2.949667453765869,-0.42991898059844913
4000,3.913364072065229,0.3805704116821289,1.6566048049926758,2.3095641136169434,3.230272054672241,3.8429794311523438,4.497681617736816,5.724189376831054,7.145746612548829,-15.876498605822402,-85.70657348632812,-53.785441398620605,-37.013959884643555,-20.499589443206787,-13.496579647064209,-8.489340782165527,-3.1604270935058594,-0.3201239109039276
4050,4.331283989910619,1.2494564056396484,2.292994346618652,2.8953861236572265,3.682400703430176,4.250856399536133,4.876227378845215,6.023236274719238,7.349505329132086,-16.321800694202135,-85.44247436523438,-55.01395969390869,-37.79500389099121,-21.121776580810547,-13.97899580001831,-8.840975761413574,-3.290135622024536,-0.16726346015929855
4100,4.589481199037955,1.8109016418457031,2.7191727638244627,3.2460368156433104,3.960177421569824,4.505568981170654,5.087430000305176,6.186450195312499,7.542952728271485,-16.427127879433627,-84.66220092773438,-54.80410995483398,-37.762681007385254,-21.31571626663208,-14.100027084350586,-8.93317437171936,-3.361440896987915,-0.09100036621093276
4150,4.7655575554832765,2.229222297668457,2.9789412879943846,3.472472476959229,4.162327289581299,4.680019378662109,5.243453025817871,6.3125469207763665,7.539158687591553,-16.347809461723013,-83.17726135253906,-54.57354164123535,-37.643245697021484,-21.18138885498047,-14.083924293518066,-8.889308452606201,-3.2964640855789185,-0.009907960891722172
4200,4.8915839959356715,2.522836685180664,3.1532443618774413,3.6405771255493162,4.308682441711426,4.812021255493164,5.3647332191467285,6.398962020874023,7.615355834960938,-16.18718194834864,-81.66653442382812,-53.95994701385498,-37.20699882507324,-20.94781732559204,-14.0183424949646,-8.816709041595459,-3.225644826889038,0.05407948493958481
4250,4.992580554094398,2.775634765625,3.313129425048828,3.774539089202881,4.418179512023926,4.898714065551758,5.4674882888793945,6.4455441474914545,7.698666458129884,-15.98557327298716,-79.87615966796875,-53.316484451293945,-36.620534896850586,-20.685059547424316,-13.868147373199463,-8.717224359512329,-3.1491918563842773,0.10936937332153887
